Done with benching. Current timestamp: 2017-06-22 08:55:44.686
QUERY135, 7152, 86581196, 2017-06-21 14:59:46.574, 1987286, OK
QUERY136, 25218, 217876818, 2017-06-21 14:47:48.125, 1268837, OK
QUERY137, 5969, 74292360, 2017-06-21 15:00:52.046, 2052758, OK
QUERY138, 17242, 168373255, 2017-06-21 14:52:30.896, 1551608, OK
QUERY139, 13737, 133264363, 2017-06-21 14:55:37.940, 1738652, OK
QUERY140, 3067, 31428822, 2017-06-21 15:04:41.180, 2281892, OK
QUERY141, 10218, 104047734, 2017-06-21 14:58:13.562, 1894274, OK
QUERY142, 4134, 51267536, 2017-06-21 15:02:55.113, 2175825, OK
QUERY143, 24117, 257893836, 2017-06-21 14:44:27.783, 1068495, OK
QUERY144, 8873, 90606857, 2017-06-21 14:59:25.106, 1965818, OK
QUERY145, 2788, 33555628, 2017-06-21 15:04:29.834, 2270546, OK
QUERY146, 14065, 171155079, 2017-06-21 14:52:16.153, 1536865, OK
QUERY147, 59554, 426907677, 2017-06-21 14:30:20.521, 221233, OK
QUERY148, 12923, 109677418, 2017-06-21 14:57:43.621, 1864333, OK
QUERY149, 35552, 256809070, 2017-06-21 14:44:33.212, 1073924, OK
QUERY150, 25771, 224662040, 2017-06-21 14:47:14.135, 1234847, OK
QUERY151, 26362, 215821715, 2017-06-21 14:47:58.411, 1279123, OK
QUERY152, 13950, 142984803, 2017-06-21 14:54:46.052, 1686764, OK
QUERY153, 36025, 370246562, 2017-06-21 14:35:04.527, 505239, OK
QUERY154, 31390, 325809289, 2017-06-21 14:38:47.852, 728564, OK
QUERY155, 39798, 383703070, 2017-06-21 14:33:56.934, 437646, OK
QUERY156, 45976, 458822742, 2017-06-21 14:27:42.713, 63425, OK
QUERY157, 10706, 108376402, 2017-06-21 14:57:50.535, 1871247, OK
QUERY158, 8937, 87347750, 2017-06-21 14:59:42.488, 1983200, OK
QUERY159, 21309, 223891322, 2017-06-21 14:47:18.003, 1238715, OK
QUERY160, 17907, 189275056, 2017-06-21 14:50:11.776, 1412488, OK
QUERY161, 24258, 254760084, 2017-06-21 14:44:43.450, 1084162, OK
QUERY162, 7985, 81070055, 2017-06-21 15:00:15.961, 2016673, OK
QUERY163, 18268, 179510244, 2017-06-21 14:51:00.846, 1461558, OK
QUERY164, 43263, 467827964, 2017-06-21 14:27:00.460, 21172, OK
QUERY165, 18365, 188055958, 2017-06-21 14:50:17.913, 1418625, OK
QUERY166, 24674, 271587611, 2017-06-21 14:43:19.279, 999991, OK
QUERY167, 5437, 59487416, 2017-06-21 15:02:11.242, 2131954, OK
QUERY168, 53318, 441911276, 2017-06-21 14:29:05.842, 146554, OK
QUERY169, 30873, 277693081, 2017-06-21 14:42:48.736, 969448, OK
QUERY170, 49039, 289575477, 2017-06-21 14:41:49.293, 910005, OK
QUERY171, 53252, 418315585, 2017-06-21 14:31:03.354, 264066, OK
QUERY172, 3304, 26289293, 2017-06-21 15:05:08.606, 2309318, OK
QUERY173, 24444, 210099975, 2017-06-21 14:48:27.058, 1307770, OK
QUERY174, 51120, 393375350, 2017-06-21 14:33:08.533, 389245, OK
QUERY175, 18912, 178240444, 2017-06-21 14:51:07.226, 1467938, OK
QUERY176, 49454, 367415896, 2017-06-21 14:35:18.798, 519510, OK
QUERY177, 30519, 213620839, 2017-06-21 14:48:09.426, 1290138, OK
QUERY178, 11327, 89537206, 2017-06-21 14:59:30.814, 1971526, OK
QUERY179, 24364, 182953293, 2017-06-21 14:50:43.551, 1444263, OK
QUERY180, 26060, 215537340, 2017-06-21 14:47:59.837, 1280549, OK
QUERY181, 46062, 419220873, 2017-06-21 14:30:58.826, 259538, OK
QUERY182, 36118, 379455372, 2017-06-21 14:34:18.359, 459071, OK
QUERY183, 26876, 284920149, 2017-06-21 14:42:12.580, 933292, OK
QUERY184, 19220, 204711220, 2017-06-21 14:48:54.059, 1334771, OK
QUERY185, 37584, 353463833, 2017-06-21 14:36:29.051, 589763, OK
QUERY186, 40815, 449786380, 2017-06-21 14:28:27.187, 107899, OK
QUERY187, 35399, 334796639, 2017-06-21 14:38:02.706, 683418, OK
QUERY188, 30940, 284068960, 2017-06-21 14:42:16.841, 937553, OK
QUERY189, 31605, 278779456, 2017-06-21 14:42:43.299, 964011, OK
QUERY190, 12679, 85131070, 2017-06-21 14:59:54.343, 1995055, OK
QUERY191, 5556, 29135794, 2017-06-21 15:04:53.412, 2294124, OK
QUERY192, 53415, 273316816, 2017-06-21 14:43:10.630, 991342, OK
QUERY193, 36305, 279015981, 2017-06-21 14:42:42.120, 962832, OK
QUERY194, 34824, 335535357, 2017-06-21 14:37:58.977, 679689, OK
QUERY195, 3897, 38629182, 2017-06-21 15:04:02.754, 2243466, OK
QUERY196, 33029, 361026695, 2017-06-21 14:35:51.021, 551733, OK
QUERY197, 2627, 23990133, 2017-06-21 15:05:20.855, 2321567, OK
QUERY198, 2718, 47190920, 2017-06-21 15:03:16.904, 2197616, OK
QUERY199, 14620, 163630844, 2017-06-21 14:52:55.944, 1576656, OK
QUERY200, 41122, 444984595, 2017-06-21 14:28:50.833, 131545, OK
QUERY201, 6755, 73053427, 2017-06-21 15:00:58.669, 2059381, OK
QUERY202, 12441, 119799406, 2017-06-21 14:56:49.770, 1810482, OK
QUERY203, 26712, 288036574, 2017-06-21 14:41:56.999, 917711, OK
QUERY204, 16380, 172221671, 2017-06-21 14:52:10.578, 1531290, OK
QUERY205, 28736, 317703933, 2017-06-21 14:39:28.576, 769288, OK
QUERY206, 41654, 459087546, 2017-06-21 14:27:41.407, 62119, OK
QUERY207, 11692, 122992657, 2017-06-21 14:56:32.745, 1793457, OK
QUERY208, 12905, 134309482, 2017-06-21 14:55:32.367, 1733079, OK
QUERY209, 36812, 402169942, 2017-06-21 14:32:24.536, 345248, OK
QUERY210, 16689, 190630535, 2017-06-21 14:50:04.937, 1405649, OK
QUERY211, 41309, 454570092, 2017-06-21 14:28:03.401, 84113, OK
QUERY212, 28803, 318493929, 2017-06-21 14:39:24.607, 765319, OK
QUERY213, 10109, 104182369, 2017-06-21 14:58:12.846, 1893558, OK
QUERY214, 29358, 327257475, 2017-06-21 14:38:40.580, 721292, OK
QUERY215, 2316, 23075642, 2017-06-21 15:05:25.750, 2326462, OK
QUERY216, 14577, 160645396, 2017-06-21 14:53:11.863, 1592575, OK
QUERY217, 13999, 147065704, 2017-06-21 14:54:24.319, 1665031, OK
QUERY218, 20433, 225451690, 2017-06-21 14:47:10.188, 1230900, OK
QUERY219, 44401, 467970759, 2017-06-21 14:26:59.755, 20467, OK
QUERY220, 27332, 311445124, 2017-06-21 14:39:59.852, 800564, OK
QUERY221, 2229, 22278710, 2017-06-21 15:05:30.003, 2330715, OK
QUERY222, 42248, 438693024, 2017-06-21 14:29:21.813, 162525, OK
QUERY223, 30686, 302692584, 2017-06-21 14:40:43.724, 844436, OK
QUERY224, 23499, 250858965, 2017-06-21 14:45:02.986, 1103698, OK
QUERY225, 7127, 67935636, 2017-06-21 15:01:26.093, 2086805, OK
QUERY226, 2214, 21395696, 2017-06-21 15:05:34.724, 2335436, OK
QUERY227, 24153, 263147399, 2017-06-21 14:44:01.513, 1042225, OK
QUERY228, 16947, 182584412, 2017-06-21 14:50:45.397, 1446109, OK
QUERY229, 26147, 288647659, 2017-06-21 14:41:53.943, 914655, OK
QUERY230, 5899, 61256525, 2017-06-21 15:02:01.792, 2122504, OK
